release_id,hospital_id,hospital_name,application_name,version,previous_version,deployment_time,deployment_status,deployment_type,engineer,latency_ms,latency_baseline_ms,latency_change_percent,error_rate_percent,error_baseline_percent,error_change,service_availability_percent,availability_change,transaction_count,baseline_transaction_count,transaction_drop_percent,customer_impact_level,affected_hospitals_count,affected_workflows_count,risk_score,risk_level,recommendation,ground_truth_decision,baseline_decision_time_min,adviser_decision_time_min,case_tag
REL-CASE-001,HOSP-CGH-01,City General Hospital,Clinical Portal,v4.14.2,v4.14.1,2026-09-06T07:29:36.690151,MONITORING,HOTFIX,Sarah Chen (Release Eng),1650.0,1000.0,65.0,0.35,0.4,-0.05,99.85,-0.05,9800,10000,2.0,LOW,1,1,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,54.0,7.5,CASE_1_HIGH_LATENCY_NORMAL_ERRORS
REL-CASE-002,HOSP-SMMC-02,St. Mary's Medical Center,Laboratory Application,v3.10.0,v3.9.5,2026-09-06T04:29:36.690189,MONITORING,CANARY,Marcus Brody (Clinical SRE),420.0,400.0,5.0,8.4,0.5,7.9,99.4,-0.5,12100,12500,3.2,LOW,1,1,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,42.0,8.0,CASE_2_HIGH_ERRORS_LOW_IMPACT
REL-CASE-003,HOSP-MCH-04,Metro Care Hospital,Pharmacy Management Service,v5.2.1,v5.2.0,2026-09-06T09:29:36.690202,MONITORING,HOTFIX,Dr. Alex Rivera (DevOps Lead),310.0,300.0,3.3,0.45,0.4,0.05,99.95,0.05,6800,9500,28.4,CRITICAL,3,2,65,HIGH,ROLLBACK RECOMMENDED,ROLLBACK,65.0,5.0,CASE_3_LOW_TECH_CRITICAL_IMPACT
REL-EDGE-004,HOSP-LKH-03,Lakeside Hospital,Medical Device Integration Service,v2.8.0,v2.7.9,2026-09-05T20:29:36.690214,MONITORING,ROLLING_BATCH,Elena Rostova (Platform Specialist),850.0,600.0,41.7,,0.5,,,,4200,4500,6.7,MEDIUM,1,1,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,45.0,6.5,EDGE_MISSING_SIGNAL
REL-EDGE-005,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v6.0.0-rc1,v5.9.8,2026-09-05T14:29:36.690255,MONITORING,BLUE_GREEN,David Kim (Clinical Systems Analyst),500.0,500.0,0.0,0.2,0.2,0.0,100.0,0.1,0,0,0.0,LOW,1,0,0,LOW,CONTINUE,CONTINUE,25.0,3.0,EDGE_ZERO_TRANSACTIONS
REL-EDGE-006,HOSP-CGH-01,City General Hospital,Electronic Health Record Service,v6.1.2,v6.1.1,2026-09-05T06:29:36.690271,MONITORING,CANARY,Sarah Chen (Release Eng),320.0,500.0,-36.0,0.1,0.3,-0.2,100.0,0.1,15000,12000,-25.0,LOW,1,0,0,LOW,CONTINUE,CONTINUE,18.0,2.5,EDGE_NEGATIVE_METRICS_PERF_GAIN
REL-2026-0007,HOSP-CGH-01,City General Hospital,Clinical Portal,v3.4.1,v3.4.0,2026-07-07T12:29:57.594274,ROLLED_BACK,BLUE_GREEN,Marcus Brody (Clinical SRE),378.3,256.5,47.5,3.24,0.4,2.84,98.45,-1.45,4830,5976,19.2,CRITICAL,4,1,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,59.9,6.4,SERIOUS_DEGRADATION
REL-2026-0008,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v2.2.6,v2.2.5,2026-08-28T16:40:58.323107,MONITORING,ROLLING_BATCH,Sarah Chen (Release Eng),1047.1,592.4,76.8,4.7,0.66,4.04,97.63,-2.27,25037,28911,13.4,CRITICAL,1,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,87.3,6.5,SERIOUS_DEGRADATION
REL-2026-0009,HOSP-SMMC-02,St. Mary's Medical Center,Medical Device Integration Service,v2.12.4,v2.12.3,2026-07-27T14:34:50.456339,CONTINUED,BLUE_GREEN,Dr. Alex Rivera (DevOps Lead),493.3,305.7,61.4,5.05,0.35,4.7,98.54,-1.36,22016,26960,18.3,HIGH,1,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,74.0,5.0,SERIOUS_DEGRADATION
REL-2026-0010,HOSP-LKH-03,Lakeside Hospital,Clinical Portal,v4.12.4,v4.12.3,2026-08-31T10:35:32.375380,ROLLED_BACK,CANARY,Sarah Chen (Release Eng),1094.4,568.7,92.4,5.74,0.6,5.14,98.28,-1.62,10346,11967,13.5,CRITICAL,4,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,56.3,7.0,SERIOUS_DEGRADATION
